ShopItemID	ShopItemName	ItemID	Count	ShopItemIcon	ShopItemType	AppStroeIdentifer	Flag	PrizeType	OrigPrize	CurPrize	CanBuyTimes	BeginTime	EndTime
1	小钻石包	0	50	0	0	0	0	0	0	6	0	0	0
2	中钻石包	0	300	0	0	0	0	0	0	30	0	0	0
3	大钻石包	0	1500	0	0	0	0	0	0	128	0	0	0
4	超大钻石包	0	5000	0	0	0	0	0	0	388	0	0	0
5	豪华钻石包	0	10000	0	0	0	0	0	0	648	0	0	0
11	小筹码包	0	10000	0	1	0	0	1	0	18	0	0	0
12	中筹码包	0	60000	0	1	0	0	1	0	58	0	0	0
13	大筹码包	0	200000	0	1	0	0	1	0	168	0	0	0
14	超大筹码包	0	500000	0	1	0	0	1	0	388	0	0	0
15	豪华筹码包	0	1000000	0	1	0	0	1	0	688	0	0	0
101	互动表情20次	10	20	0	3	0	0	2	0	1000	0	0	0
102	互动表情100次	10	100	0	3	0	0	2	0	5000	0	0	0
103	互动表情500次	10	500	0	3	0	0	2	0	20000	0	0	0
111	踢人卡20张	11	20	0	3	0	0	2	0	50000	0	0	0
112	踢人卡100张	11	100	0	3	0	0	2	0	250000	0	0	0
113	踢人卡500张	11	500	0	3	0	0	2	0	1000000	0	0	0
121	小喇叭20次	12	20	0	3	0	0	1	0	50	0	0	0
122	小喇叭100次	12	100	0	3	0	0	1	0	200	0	0	0
123	小喇叭500次	12	500	0	3	0	0	1	0	800	0	0	0
131	开房卡20张	13	20	0	3	0	0	2	0	5000	0	0	0
132	开房卡100张	13	100	0	3	0	0	2	0	25000	0	0	0
133	开房卡500张	13	500	0	3	0	0	2	0	100000	0	0	0
21	超级跑车	0	1	0	2	0	0	2	0	10000	0	0	0
22	豪华游艇	1	1	0	2	0	0	2	0	50000	0	0	0
23	私人飞机	2	1	0	2	0	0	1	0	100	0	0	0
24	庄园别墅	3	1	0	2	0	0	1	0	500	0	0	0
201	小礼包	101	1	0	3	0	0	1	0	18	0	0	0
202	中礼包	102	1	0	3	0	0	1	0	58	0	0	0
203	大礼包	103	1	0	3	0	0	1	0	168	0	0	0
204	超大礼包	104	1	0	3	0	0	1	0	388	0	0	0
205	豪华礼包	105	1	0	3	0	0	1	0	688	0	0	0
10015	yd小钻石包1	0	1	0	0	0	0	1	0	0	0	0	0
10016	yd小钻石包2	0	2	0	0	0	0	1	0	0	0	0	0
10017	yd小钻石包3	0	5	0	0	0	0	1	0	0	0	0	0
10018	yd小钻石包4	0	10	0	0	0	0	1	0	0	0	0	0
10019	yd小钻石包5	0	15	0	0	0	0	1	0	0	0	0	0
10020	yd小钻石包6	0	30	0	0	0	0	1	0	0	0	0	0
10021	yd筹码包1	0	10000	0	1	0	0	1	0	0	0	0	0
10022	yd筹码包2	0	20000	0	1	0	0	1	0	0	0	0	0
10023	yd筹码包3	0	50000	0	1	0	0	1	0	0	0	0	0
10024	yd筹码包4	0	100000	0	1	0	0	1	0	0	0	0	0
10025	yd筹码包5	0	150000	0	1	0	0	1	0	0	0	0	0
10026	yd筹码包6	0	300000	0	1	0	0	1	0	0	0	0	0
10027	yd互动道具1	10000	5	0	3	0	0	1	0	0	0	0	0
10028	yd互动道具2	10000	10	0	3	0	0	1	0	0	0	0	0
10029	yd互动道具3	10000	30	0	3	0	0	1	0	0	0	0	0
10030	yd互动道具4	10000	60	0	3	0	0	1	0	0	0	0	0
10031	yd互动道具5	10000	100	0	3	0	0	1	0	0	0	0	0
10032	yd互动道具6	10000	200	0	3	0	0	1	0	0	0	0	0
10001	yd头像1	10001	1	0	4	0	0	1	0	0	0	0	0
10002	yd头像2	10002	1	0	4	0	0	1	0	0	0	0	0
10003	yd头像3	10003	1	0	4	0	0	1	0	0	0	0	0
10004	yd头像4	10004	1	0	4	0	0	1	0	0	0	0	0
10005	yd头像5	10005	1	0	4	0	0	1	0	0	0	0	0
10006	yd头像6	10006	1	0	4	0	0	1	0	0	0	0	0
10007	yd头像7	10007	1	0	4	0	0	1	0	0	0	0	0
10008	yd头像8	10008	1	0	4	0	0	1	0	0	0	0	0
10009	yd头像9	10009	1	0	4	0	0	1	0	0	0	0	0
10010	yd头像10	10010	1	0	4	0	0	1	0	0	0	0	0
10011	yd头像11	10011	1	0	4	0	0	1	0	0	0	0	0
10012	yd头像12	10012	1	0	4	0	0	1	0	0	0	0	0
10013	yd头像13	10013	1	0	4	0	0	1	0	0	0	0	0
10014	yd头像14	10014	1	0	4	0	0	1	0	0	0	0	0
10033	yd兑换筹码1	0	10000	0	1	0	0	1	0	1	0	0	0
10034	yd兑换筹码2	0	20000	0	1	0	0	1	0	2	0	0	0
10035	yd兑换筹码5	0	50000	0	1	0	0	1	0	5	0	0	0
10036	yd兑换筹码10	0	100000	0	1	0	0	1	0	10	0	0	0
10037	yd兑换筹码15	0	150000	0	1	0	0	1	0	15	0	0	0
10038	yd兑换筹码30	0	300000	0	1	0	0	1	0	30	0	0	0
